collapse_rate,collapse_sigma,collapse_amplitude,continuous_noise_amplitude,density_decay,relativistic_factor,slope
0.3339114957928913,0.1970886717152028,0.833663842439953,0.007225035034717495,0.9503358819147361,0.009622691900496663,-3.958514395810624
0.49726884343995625,0.1104826981145669,0.7864699896261498,0.007514230176515275,0.9540905683379712,0.002349612215397796,-3.7207936331258815
0.30245878716411556,0.1824209998377464,0.7504156880752659,0.006639795485592471,0.9715090575511522,0.009194569530728025,-3.59805108495869
0.21708788823859254,0.11886018758764016,0.6974749013094539,0.008139466342016878,0.9683314119819957,0.008619173501379043,-3.499550949636087
0.4668504881292431,0.1042227117995384,0.7169791772511909,0.009679612119454332,0.9625558722132949,0.00977478567983904,-3.5054020112470545
0.1843735227513117,0.19508653019086275,0.6737514521840491,0.009889149878796981,0.9676856121094538,0.007095782319726927,-3.8263974234551217
0.35141493855419215,0.10423261557958519,0.6286932644123162,0.008526869908744853,0.9644350547596491,0.003255745285072279,-3.621189406352565
0.42683685966945206,0.18087449502173258,0.5294786906635622,0.005809867396933544,0.9535564820923988,0.0028484428291858576,-3.7425217304299188
0.453479663427625,0.1287042142916754,0.8289009768135962,0.007045364153842119,0.987624030211951,0.00044487473111553654,-3.751201653199042
0.3741994836835786,0.19712376173860283,0.829364049074241,0.00570067712873211,0.9733232837619916,0.006201701690124725,-3.7714900888649154
0.4085752416271341,0.18502053930945034,0.7150265635790072,0.006984495775146468,0.9552346445593807,0.0034709849629532487,-3.575912676407374
0.4484918710635437,0.14276983946996816,0.6977562644014785,0.009040245592505276,0.9888025747348335,0.005463708083630166,-3.74043251661034
0.20473380457970652,0.15565200291860076,0.7335545950374889,0.00789696797892137,0.9673485893174828,0.0020449513241824237,-3.586711660315883
0.22760077748539442,0.1609934475280932,0.5046757013593406,0.007097857047308447,0.9744021100125607,0.0010836378625324805,-3.783585585718584
0.17038496615435944,0.11021127874116134,0.6585654910161196,0.009291137792172527,0.9753053012113249,0.006832073792991376,-3.7488587159148694
0.41496091094856646,0.13524356153979486,0.5751227201657665,0.006491359593008099,0.9537701345665353,0.004213479913342211,-3.706874008136575
0.1646758505538532,0.1423834088449012,0.8256347795841001,0.008913047411493345,0.964152153200688,0.0025711702825252404,-3.4611462723933615
0.19458311002404705,0.13399953938231113,0.5916736255182351,0.0063995320820279126,0.9842808218819369,0.007831866510346761,-3.66747022283036
0.495876842712886,0.1449264412984757,0.7532050603669732,0.006718104046633842,0.954960150582422,0.00553567484250674,-3.6864742158522694
0.38557483872555254,0.12738131882881967,0.8841600063364119,0.007453358699873097,0.9533474347768706,0.0007776777324447271,-3.8315901835762127
