collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,relativistic_factor,slope
0.5,0.2,0.5,0.005,0.95,0.0,-5.847097079254138
0.5,0.2,0.5,0.005,0.95,0.01,-5.230501187323456
0.5,0.2,0.5,0.01,0.99,0.0,-5.275452247963649
0.5,0.2,0.5,0.01,0.99,0.01,-6.569275503199915
0.5,0.2,0.5,0.01,0.95,0.0,-5.167359400835996
0.5,0.2,0.5,0.01,0.95,0.01,-6.204336643205798
0.5,0.2,1.0,0.005,0.99,0.0,-5.522148841103976
0.5,0.2,1.0,0.005,0.99,0.01,-4.612894863033678
0.5,0.2,1.0,0.005,0.95,0.0,-4.9107710588337845
0.5,0.2,1.0,0.005,0.95,0.01,-4.722939736469347
0.5,0.2,1.0,0.01,0.99,0.0,-5.130755246941259
0.5,0.2,1.0,0.01,0.99,0.01,-7.274487240578088
0.5,0.2,1.0,0.01,0.95,0.0,-5.231425803262825
0.5,0.2,1.0,0.01,0.95,0.01,-4.552816297665273
