Cycle,Radial Frequency Bin,Power
1,0,7564355.50163034
1,1,2137430.677118106
1,2,588456.748814548
1,3,78294.18272643052
1,4,24475.2587009837
1,5,9958.563456942908
1,6,3638.3326214772615
1,7,1645.6807453826777
1,8,808.8283441088221
1,9,384.3650574833318
1,10,169.86717335568719
1,11,94.34141214150205
1,12,40.80289554138474
1,13,21.840353860749033
1,14,10.311054436166353
1,15,4.992563252667971
1,16,2.4276007341415724
1,17,1.1175560101140116
1,18,0.5430400986266882
1,19,0.23172725955862206
1,20,0.10161000591236041
1,21,0.037964815460642766
1,22,0.01834071403067893
1,23,0.007209020961478446
1,24,0.0029708587627632304
1,25,0.0010429413995825733
1,26,0.0004416726198907081
1,27,0.00016031809798471456
1,28,6.0689830474279394e-05
1,29,2.6262890310411454e-05
1,30,1.0861928154133132e-05
1,31,5.405987058255401e-06
1,32,3.2133586985262352e-06
1,33,2.359614664471777e-06
1,34,1.8669938395305595e-06
1,35,1.546006769659529e-06
1,36,1.13550518145402e-06
1,37,1.0231332162920955e-06
1,38,8.278752704618087e-07
1,39,7.583059506804634e-07
1,40,5.940404619651639e-07
1,41,5.191566551451731e-07
1,42,4.8194623249972e-07
1,43,3.7186264132660843e-07
1,44,3.37318763825921e-07
1,45,2.8295939790757465e-07
1,46,2.6354296835532514e-07
1,47,2.3347383435627624e-07
1,48,1.8467083063800736e-07
1,49,1.7894049189315306e-07
1,50,1.5136428165895205e-07
1,51,1.4460858972767876e-07
1,52,1.248947727962324e-07
1,53,1.0444425772653581e-07
1,54,1.0514518820065015e-07
1,55,8.832541856662224e-08
1,56,8.609372373055603e-08
1,57,7.297044141581984e-08
1,58,6.478491652449005e-08
1,59,6.643384395892171e-08
1,60,5.6042464683358086e-08
1,61,4.8713502613224526e-08
1,62,4.7029821550633895e-08
1,63,4.3586540810041474e-08
1,64,1.232870210229505e-08
1,65,1.4490717287714965e-09
1,66,3.618558701672589e-10
1,67,2.4532992304584603e-10
1,68,1.9834111715164565e-10
1,69,1.7110019963847425e-10
1,70,1.465173537352975e-10
1,71,1.3174126307796709e-10
1,72,1.1623922824675874e-10
1,73,1.062034262653388e-10
1,74,9.560196982085201e-11
1,75,8.80411467645847e-11
1,76,8.133072311487802e-11
1,77,7.386363207689429e-11
1,78,6.92881752272271e-11
1,79,6.396510101127111e-11
1,80,5.960415930219783e-11
1,81,5.622928463879524e-11
1,82,5.2363627159140936e-11
1,83,4.949118310438476e-11
1,84,4.62482478370387e-11
1,85,4.3570651665410075e-11
1,86,4.1446831138879285e-11
1,87,3.9529236735200025e-11
1,88,3.771186864220145e-11
1,89,3.607037984017144e-11
