Cycle,Step,Avg Density,Avg Potential
1,0,2.87751416335603e-05,-0.00036767331699258447
1,1,5.98699910415352e-05,-0.0003903257000997607
1,2,7.0636786238186e-05,0.015049919975323168
1,3,8.745461082973997e-05,0.016410943771450262
1,4,9.25554106707464e-05,0.06219286542485586
1,5,8.401052062152463e-05,0.07100485240921062
1,6,7.342701658531498e-05,0.07061488941859251
1,7,6.35608906220637e-05,0.11712475240165157
1,8,5.358140097330267e-05,0.11560316592536611
1,9,6.414723011703756e-05,0.08803612014552831
1,10,5.181364518277641e-05,0.08701969000143758
1,11,4.6545463838211054e-05,0.08594925040008708
1,12,5.4938240081898746e-05,0.08474111775008392
1,13,1.8482075072827583e-05,0.1301432953315521
1,14,-5.313367577937314e-07,0.12857105406730102
1,15,4.993032448418208e-05,0.12748360898519664
1,16,6.323914338221941e-05,0.12603685216385233
1,17,4.2048882965085095e-05,0.13912576886824735
1,18,4.08384652541765e-05,0.13805896450322191
1,19,6.554049586570727e-05,0.1265541103405016
1,20,5.367938585877513e-05,0.12607943228189158
1,21,4.689132296741347e-05,0.12448441642139901
1,22,3.0352012414833552e-05,0.1229738617056759
1,23,1.8870901157611505e-05,0.15594733495067242
1,24,2.7456877497682236e-05,0.15487082096938581
1,25,6.407311418370875e-05,0.15285674654168238
1,26,4.237028017750119e-05,0.15193273610087393
1,27,7.912765845107388e-06,0.15033371960195582
1,28,2.9829574565770775e-06,0.14886428850934597
1,29,-4.4024931246856494e-05,0.14774779410054548
1,30,-3.5953318253018576e-05,0.1460483989495535
1,31,-3.362974837592048e-05,0.13671665549126016
1,32,-4.973012735662511e-05,0.17296055180961245
1,33,-4.81701102056368e-05,0.17144289688414024
1,34,-2.6829987632173086e-05,0.21711651689178346
1,35,-3.217698641051038e-05,0.21496373196262322
1,36,1.0104591539236882e-05,0.21308598652197663
1,37,-3.1748046794884e-05,0.21156792882499847
1,38,-8.518620520850064e-05,0.20964452143471735
1,39,-0.0001157397707784143,0.20753272321130983
1,40,-0.00010958853992723229,0.20521864032806383
1,41,-0.0001331473963799832,0.21905914572674046
1,42,-0.00012723902740154774,0.21353247111294232
1,43,-0.0001428736902081452,0.2112812415523205
1,44,-0.00010292663491505297,0.2437162149072748
1,45,-0.00015447762254845602,0.24128469580796463
1,46,-0.0001792706174315316,0.2227634856892801
1,47,-0.00021136915981766712,0.24491228267024928
1,48,-0.00018261123620908493,0.29205947726095305
1,49,-0.0001785678974112114,0.28871287267173784
1,50,-0.00017859168645150943,0.28557350775049
1,51,-0.00011559022850231464,0.2846613807475221
1,52,-9.350968940002067e-05,0.21842947902411025
1,53,-8.734732277202562e-05,0.21672326818956233
1,54,-0.00013025490341133272,0.2743574151873439
1,55,-8.95932386327213e-05,0.27107876948265575
1,56,-9.492547007844713e-05,0.300896861630058
1,57,-6.929999982285422e-05,0.298055684127652
1,58,0.0075715643585298744,0.20955900236741737
1,59,0.007482485387902336,0.19060615762666375
1,60,0.007386420414666526,0.18894373560295763
1,61,0.007416901966282478,0.12197293015734076
1,62,0.007335480233536779,0.12019479972488192
1,63,0.007249920944768991,0.15939669209837912
1,64,0.007141602736342557,0.15840041026732538
1,65,0.007014471486685172,0.15674240488732913
1,66,0.006948844664355625,0.15511862563540127
1,67,0.006897562859779214,0.1825888175316827
1,68,0.008581353968164734,0.1503931406182628
1,69,0.008554709834920654,0.14853295428976215
1,70,0.00851004201508922,0.14682188203873173
1,71,0.008392255465919195,0.19235024960991504
1,72,0.008311659733741893,0.16631837612177078
1,73,0.008218600962776908,0.16452181404896238
1,74,0.008140212604869326,0.16276049718416988
1,75,0.008257727291907102,0.0936059659457848
1,76,0.008202487539857247,0.09257188051107053
1,77,0.00807728257472323,0.09203827023456865
