Cycle,Step,Avg Density,Avg Potential
1,0,-3.908068717213709e-05,0.0003090102464602658
1,1,-3.081211905460434e-05,0.0006979795494768624
1,2,-2.8377863353135924e-05,0.000453459382706825
1,3,-4.764355616763109e-05,0.0005205638236411805
1,4,-5.6396732754563345e-05,0.04148488823923397
1,5,-9.881898135047674e-05,0.041444140958351465
1,6,-0.00011456012448182238,0.08296352871531008
1,7,-0.0001499576682687415,0.08286745525591985
1,8,-0.00017738476586734913,0.050726504672084
1,9,-0.00017946753680464386,0.10863292374170326
1,10,-0.00017922988638096333,0.10764451031458379
1,11,-0.0001647270599738244,0.10689918886473845
1,12,-0.00019012762675136603,0.10599605137006039
1,13,-0.0001476441461161746,0.12112392784517127
1,14,-0.0001462035334839697,0.1456280612176957
1,15,-0.00011359033943679442,0.1366153044380435
1,16,-0.00015570528330751093,0.13528714164065056
1,17,-0.00016594268356828252,0.13400866957670435
1,18,-0.0001259948705563455,0.17393215425459313
1,19,-0.00013975851717781568,0.17236382908386594
1,20,-0.0001417470403720175,0.1269705484742341
1,21,-0.00011337045838813478,0.06651128567050008
1,22,-0.00012417024876240534,0.06550731879980878
1,23,-3.447562843118091e-05,-0.0017005505795400777
1,24,-5.892957858931317e-05,-0.0017742375664885762
1,25,-5.751525978699705e-05,-0.027860792651592303
1,26,-3.2262207658061926e-05,0.0019269476468087021
1,27,-3.9923034602316676e-05,0.0036231284932665697
1,28,-6.591885970613884e-05,0.04704724497802923
1,29,-8.791432471805081e-05,0.04721142132099612
1,30,-4.9860813688658275e-05,0.08828850510676278
1,31,-2.919469071096972e-05,0.08775672543999696
1,32,-6.125327321059542e-06,0.08671576480891231
1,33,-2.3010242062237874e-06,0.12566855011699607
1,34,3.414034819369086e-06,0.12490676200570258
1,35,0.00012748802952555223,0.07123169816929695
1,36,0.000101529950230429,0.15902337066866282
1,37,9.926192462608255e-05,0.15699402887094543
1,38,8.757216121012887e-05,0.13620091932356476
1,39,9.677915491007629e-05,0.13485319326359615
