Cycle,Radial Frequency Bin,Power
5,18,2.5389886915511157
5,19,1.253228452566867
5,20,0.4899906797572391
5,21,0.1965838176110731
5,22,0.09890629171519558
5,23,0.03961197095155954
5,24,0.016191740620058702
5,25,0.0057076105973116196
5,26,0.0023208088084795886
5,27,0.0007934780063980275
5,28,0.00031544551994354885
5,29,0.00012703482469869995
5,30,4.562209157094196e-05
5,31,1.562580952535593e-05
5,32,6.591227434725973e-06
5,33,3.5517932715014578e-06
5,34,2.3793030657062063e-06
5,35,1.8352088090638336e-06
5,36,1.2954508548142576e-06
5,37,1.1153495948405528e-06
5,38,9.296308170438521e-07
5,39,8.487952634261333e-07
5,40,6.663040745981832e-07
5,41,5.822401871699505e-07
5,42,5.517865571063154e-07
5,43,4.1437726157122176e-07
5,44,3.7424756036496897e-07
5,45,3.1784438719841564e-07
5,46,2.9634620843712976e-07
5,47,2.626171744352888e-07
5,48,2.078669315665857e-07
5,49,2.0096193491463096e-07
5,50,1.7043761211917084e-07
5,51,1.6292310808920877e-07
5,52,1.4180640047626255e-07
5,53,1.1762943146241624e-07
5,54,1.1846874582325987e-07
5,55,9.951970650508478e-08
5,56,9.59059829733909e-08
5,57,8.232222264517026e-08
5,58,7.310256800185222e-08
5,59,7.49651044958693e-08
5,60,6.32359306199793e-08
5,61,5.496869507037358e-08
5,62,5.304005559266482e-08
5,63,4.9174094822275045e-08
5,64,9.664525043906135e-09
5,65,1.1689038319365192e-09
5,66,4.148439174462367e-10
5,67,2.5668958342861143e-10
5,68,2.1046947060837641e-10
5,69,1.8716068882090594e-10
5,70,1.6012851694333382e-10
5,71,1.4408669077651288e-10
5,72,1.273110150221559e-10
5,73,1.1638398457477895e-10
5,74,1.0483718502257016e-10
5,75,9.657006397940767e-11
5,76,8.921936758480677e-11
5,77,8.10644251232322e-11
5,78,7.601893064532675e-11
5,79,7.02004439707884e-11
5,80,6.538776437207553e-11
5,81,6.16864618977325e-11
5,82,5.7443460202781186e-11
5,83,5.4282268243453726e-11
5,84,5.070924310041983e-11
5,85,4.77510387644991e-11
5,86,4.5407121400861955e-11
5,87,4.3305469026148793e-11
5,88,4.130588895766422e-11
5,89,3.9518700862440474e-11
6,0,4414087.131944224
6,1,1944305.3113730026
6,2,352623.71184455714
6,3,101689.3194995929
6,4,52871.356082596154
6,5,29023.982478258084
6,6,12912.653000876493
6,7,5724.084725313216
6,8,2858.2757069358986
6,9,1620.0208547396787
6,10,816.1630784405675
6,11,469.3425897616944
6,12,230.65144435424472
6,13,104.95158508095747
6,14,60.13981422495279
6,15,25.870401812050297
6,16,12.824471444737808
6,17,6.222199665263515
6,18,2.967168508872503
6,19,1.4722106043172323
6,20,0.5723306419235634
6,21,0.23467978804780187
6,22,0.10032761857676731
6,23,0.04508084815872473
6,24,0.019227848749170058
6,25,0.007727957194757399
6,26,0.003606196832381606
6,27,0.0015778503890152295
6,28,0.00100633080770946
6,29,0.0006559751873837107
6,30,0.000507229957305146
6,31,0.00035087173597842485
6,32,0.0002842294154218625
6,33,0.00023963470866550805
6,34,0.00019684383687205463
6,35,0.00017216327617304697
6,36,0.00012745839041304532
6,37,0.00011403471284751936
6,38,9.616760032728154e-05
6,39,8.886699167844607e-05
6,40,7.017579568203443e-05
6,41,6.192610432913865e-05
6,42,5.783525407420949e-05
6,43,4.4763404115729444e-05
6,44,4.0512287978752886e-05
6,45,3.471231087256623e-05
6,46,3.252885265919559e-05
6,47,2.8944227873819294e-05
6,48,2.296755246347213e-05
6,49,2.227690835864534e-05
6,50,1.8969046833070927e-05
6,51,1.8193489640189725e-05
6,52,1.5815829756464167e-05
6,53,1.3190793050512662e-05
6,54,1.3322437643556483e-05
6,55,1.1195321052809211e-05
6,56,1.0809017915146876e-05
6,57,9.299758215221921e-06
6,58,8.26734239472587e-06
6,59,8.493578928006494e-06
6,60,7.1669065325904585e-06
6,61,6.224930376400333e-06
6,62,6.017416388882811e-06
6,63,5.581025230502052e-06
6,64,1.0984798535069103e-06
6,65,8.02755353581368e-08
6,66,9.425756508202127e-09
6,67,1.5241594157184113e-09
6,68,2.623504786854624e-10
6,69,1.1109432816892169e-10
6,70,8.366986574261303e-11
6,71,7.334893140963546e-11
6,72,6.435921770668261e-11
6,73,5.865067435624642e-11
6,74,5.263467411445419e-11
6,75,4.840356756369017e-11
6,76,4.465097393769415e-11
6,77,4.0462069754556605e-11
6,78,3.793773064084027e-11
6,79,3.498349687547157e-11
6,80,3.255934785264453e-11
6,81,3.0704266378782406e-11
6,82,2.8566717494696182e-11
6,83,2.6993683262816893e-11
6,84,2.5208633540569906e-11
6,85,2.3738185474558935e-11
6,86,2.257405876852896e-11
6,87,2.152778084793124e-11
6,88,2.0534672347788045e-11
6,89,1.9645779781958488e-11
7,0,5065154.882277544
7,1,1881314.9861231183
7,2,434662.4792800967
7,3,106291.39851105626
7,4,54357.713288871426
7,5,24559.970007185337
7,6,9509.1968299864
7,7,4646.828490390517
7,8,2313.0397308519123
7,9,1209.903590319589
7,10,662.2564823274803
7,11,344.5133595030036
7,12,160.03600451989226
7,13,85.55008380046311
7,14,39.36515855221545
7,15,17.901931358683825
7,16,8.955615479149538
7,17,5.07526061053595
7,18,1.9203037461138042
7,19,0.8956660069084422
7,20,0.39633708781953586
7,21,0.159823303957581
7,22,0.07284459568545293
7,23,0.03177260355234993
7,24,0.013766966230924892
7,25,0.006294210433995026
7,26,0.004036347721200904
7,27,0.0024796732637535827
7,28,0.0019029534746574422
7,29,0.0014272105735455437
7,30,0.0012654275061296958
7,31,0.0008949584817483093
7,32,0.0007505195590614475
7,33,0.0006377516929939746
7,34,0.0005270231534114645
7,35,0.00046171757137033315
7,36,0.00034130000506733707
7,37,0.0003043782021285215
7,38,0.00025572110925295747
