collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,relativistic_factor,slope
0.5,0.2,0.5,0.005,0.99,0.01,-3.661782922334848
0.5,0.2,0.5,0.005,0.95,0.0,-3.3638091977231253
0.5,0.2,0.5,0.005,0.95,0.01,-3.708750062483521
0.5,0.2,0.5,0.01,0.99,0.0,-3.4205822384284774
0.5,0.2,0.5,0.01,0.99,0.01,-3.6237354518556284
0.5,0.2,0.5,0.01,0.95,0.0,-3.67658858591784
0.5,0.2,0.5,0.01,0.95,0.01,-3.8237094565392256
0.5,0.2,1.0,0.005,0.99,0.0,-3.759908661492921
0.5,0.2,1.0,0.005,0.99,0.01,-3.4228484597424274
0.5,0.2,1.0,0.005,0.95,0.0,-3.588975420788172
0.5,0.2,1.0,0.005,0.95,0.01,-3.646318615954312
0.5,0.2,1.0,0.01,0.99,0.0,-3.3840456098259626
0.5,0.2,1.0,0.01,0.99,0.01,-2.956205514071672
0.5,0.2,1.0,0.01,0.95,0.0,-3.3842826376097115
0.5,0.2,1.0,0.01,0.95,0.01,-3.6488405901642214
