collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,relativistic_factor,slope
0.1,0.1,0.5,0.005,0.99,0.0,-3.618395057959428
0.1,0.1,0.5,0.005,0.99,0.01,-3.6996524443558245
0.1,0.1,0.5,0.005,0.95,0.0,-3.4168803843919364
0.1,0.1,0.5,0.005,0.95,0.01,-3.737083908059362
0.1,0.1,0.5,0.01,0.99,0.0,-3.536413596297602
0.1,0.1,0.5,0.01,0.99,0.01,-3.247498185500959
0.1,0.1,0.5,0.01,0.95,0.0,-3.608695943445282
0.1,0.1,0.5,0.01,0.95,0.01,-3.5497430131942562
0.1,0.1,1.0,0.005,0.99,0.0,-3.6771948507957006
0.1,0.1,1.0,0.005,0.99,0.01,-3.417254203887893
0.1,0.1,1.0,0.005,0.95,0.0,-3.442056018603643
0.1,0.1,1.0,0.005,0.95,0.01,-3.7303441281176095
0.1,0.1,1.0,0.01,0.99,0.0,-3.5310335288375936
0.1,0.1,1.0,0.01,0.99,0.01,-3.423393616386152
0.1,0.1,1.0,0.01,0.95,0.0,-3.6954860454815064
0.1,0.1,1.0,0.01,0.95,0.01,-3.9318212451174013
0.1,0.2,0.5,0.005,0.99,0.0,-3.955925027591807
0.1,0.2,0.5,0.005,0.99,0.01,-3.7848912201659033
0.1,0.2,0.5,0.005,0.95,0.0,-3.6675369943744336
0.1,0.2,0.5,0.005,0.95,0.01,-3.5208497709102757
0.1,0.2,0.5,0.01,0.99,0.0,-3.8194301107850164
0.1,0.2,0.5,0.01,0.99,0.01,-3.554887762236835
0.1,0.2,0.5,0.01,0.95,0.0,-3.6082942491523835
0.1,0.2,0.5,0.01,0.95,0.01,-3.5906561337140537
0.1,0.2,1.0,0.005,0.99,0.0,-3.556863897068668
0.1,0.2,1.0,0.005,0.99,0.01,-3.788916817483419
0.1,0.2,1.0,0.005,0.95,0.0,-3.778811570928432
0.1,0.2,1.0,0.005,0.95,0.01,-3.745282814018685
