collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,relativistic_factor,slope
0.1,0.2,1.0,0.01,0.99,0.0,-3.658339367663043
0.1,0.2,1.0,0.01,0.99,0.01,-3.6927263563582335
0.1,0.2,1.0,0.01,0.95,0.0,-3.861865918023437
0.1,0.2,1.0,0.01,0.95,0.01,-3.7367981744659713
0.3,0.1,0.5,0.005,0.99,0.0,-3.464483137414871
0.3,0.1,0.5,0.005,0.99,0.01,-3.6143934983564026
0.3,0.1,0.5,0.005,0.95,0.0,-3.391358639339822
0.3,0.1,0.5,0.005,0.95,0.01,-3.744450205909411
0.3,0.1,0.5,0.01,0.99,0.0,-3.5154883946074906
0.3,0.1,0.5,0.01,0.99,0.01,-3.495873301484768
0.3,0.1,0.5,0.01,0.95,0.0,-3.9369738674601944
0.3,0.1,0.5,0.01,0.95,0.01,-4.003124095124984
0.3,0.1,1.0,0.005,0.99,0.0,-3.8510449706958196
0.3,0.1,1.0,0.005,0.99,0.01,-3.606116364989083
0.3,0.1,1.0,0.005,0.95,0.0,-3.486073568678162
0.3,0.1,1.0,0.005,0.95,0.01,-3.622843402377107
0.3,0.1,1.0,0.01,0.99,0.0,-3.5524439219607307
0.3,0.1,1.0,0.01,0.99,0.01,-3.7391633107598063
0.3,0.1,1.0,0.01,0.95,0.0,-3.779935408360849
0.3,0.1,1.0,0.01,0.95,0.01,-3.6050689096910578
0.3,0.2,0.5,0.005,0.99,0.0,-3.7743492952951625
0.3,0.2,0.5,0.005,0.99,0.01,-3.5944961314043664
0.3,0.2,0.5,0.005,0.95,0.0,-3.6353420585183347
0.3,0.2,0.5,0.005,0.95,0.01,-3.2120296047553296
0.3,0.2,0.5,0.01,0.99,0.0,-3.1957117310208405
0.3,0.2,0.5,0.01,0.99,0.01,-3.5563143327927382
0.3,0.2,0.5,0.01,0.95,0.0,-3.413699580020469
0.3,0.2,0.5,0.01,0.95,0.01,-3.3609191644218575
0.3,0.2,1.0,0.005,0.99,0.0,-3.195118825581339
0.3,0.2,1.0,0.005,0.99,0.01,-3.1574460079166697
0.3,0.2,1.0,0.005,0.95,0.0,-3.560599887314097
0.3,0.2,1.0,0.005,0.95,0.01,-3.28132653464978
0.3,0.2,1.0,0.01,0.99,0.0,-3.4194314547878975
0.3,0.2,1.0,0.01,0.99,0.01,-3.449437501983843
0.3,0.2,1.0,0.01,0.95,0.0,-3.477061114451965
0.3,0.2,1.0,0.01,0.95,0.01,-3.3417787513002026
0.5,0.1,0.5,0.005,0.99,0.0,-3.4586935015177294
0.5,0.1,0.5,0.005,0.99,0.01,-3.848937962932225
0.5,0.1,0.5,0.005,0.95,0.0,-3.612408125080119
0.5,0.1,0.5,0.005,0.95,0.01,-3.8555689949132947
0.5,0.1,0.5,0.01,0.99,0.0,-3.780491956179803
0.5,0.1,0.5,0.01,0.99,0.01,-3.801146485029882
0.5,0.1,0.5,0.01,0.95,0.0,-3.5892537117666556
0.5,0.1,0.5,0.01,0.95,0.01,-3.629026891884192
0.5,0.1,1.0,0.005,0.99,0.0,-3.9053646375431734
0.5,0.1,1.0,0.005,0.99,0.01,-3.6039095278189675
0.5,0.1,1.0,0.005,0.95,0.0,-3.6503363973097285
0.5,0.1,1.0,0.005,0.95,0.01,-3.544392006046482
0.5,0.1,1.0,0.01,0.99,0.0,-3.5831861991801714
0.5,0.1,1.0,0.01,0.99,0.01,-3.472281731823774
0.5,0.1,1.0,0.01,0.95,0.0,-3.514648631175419
0.5,0.1,1.0,0.01,0.95,0.01,-3.6321215303800263
0.5,0.2,0.5,0.005,0.99,0.0,-3.7242995409618467
0.5,0.2,0.5,0.005,0.99,0.01,-3.467762478946911
0.5,0.2,0.5,0.005,0.95,0.0,-3.649503218191301
0.5,0.2,0.5,0.005,0.95,0.01,-3.7418020181253593
0.5,0.2,0.5,0.01,0.99,0.0,-3.330621748707066
0.5,0.2,0.5,0.01,0.99,0.01,-3.4238919860080412
0.5,0.2,0.5,0.01,0.95,0.0,-3.7557160154955156
0.5,0.2,0.5,0.01,0.95,0.01,-3.543055571595956
0.5,0.2,1.0,0.005,0.99,0.0,-3.590907748250117
0.5,0.2,1.0,0.005,0.99,0.01,-3.6481140547321047
0.5,0.2,1.0,0.005,0.95,0.0,-3.7180419738510717
0.5,0.2,1.0,0.005,0.95,0.01,-3.355060562505258
0.5,0.2,1.0,0.01,0.99,0.0,-3.8812548285845643
0.5,0.2,1.0,0.01,0.99,0.01,-3.6414780236754787
0.5,0.2,1.0,0.01,0.95,0.0,-3.0461871852212736
0.5,0.2,1.0,0.01,0.95,0.01,-3.586225857007812
