collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,relativistic_factor,slope
0.5,0.2,0.5,0.005,0.99,0.01,-3.530719490014116
0.5,0.2,0.5,0.005,0.95,0.0,-3.689770372648612
0.5,0.2,0.5,0.005,0.95,0.01,-3.379126011927325
0.5,0.2,0.5,0.01,0.99,0.0,-3.7963979534900254
0.5,0.2,0.5,0.01,0.99,0.01,-3.9520693530047892
0.5,0.2,0.5,0.01,0.95,0.0,-3.5660727542550044
0.5,0.2,0.5,0.01,0.95,0.01,-3.681243846495819
0.5,0.2,1.0,0.005,0.99,0.0,-3.668046893149918
0.5,0.2,1.0,0.005,0.99,0.01,-3.2288718143041453
0.5,0.2,1.0,0.005,0.95,0.0,-3.478223825092993
0.5,0.2,1.0,0.005,0.95,0.01,-3.679662475048369
0.5,0.2,1.0,0.01,0.99,0.0,-3.5969555470525534
0.5,0.2,1.0,0.01,0.99,0.01,-3.286021321012053
0.5,0.2,1.0,0.01,0.95,0.0,-3.4166112369858195
0.5,0.2,1.0,0.01,0.95,0.01,-3.303091036956006
