collapse_rate,collapse_sigma,collapse_amplitude,continuous_noise_amplitude,density_decay,relativistic_factor,slope
0.3387152006415634,0.17190934634771224,0.7194366616136686,0.006996386939304708,0.9794767465216129,0.007616782616880077,-5.835448239055427
0.35813633655748844,0.17934050335694296,0.7155655782782744,0.007622339231507933,0.9770971688016389,0.007669013949404972,-5.2698771229430035
0.3919477139701925,0.16425365712316034,0.7005689214752077,0.006808294231246464,0.9732353279595617,0.007722486175101555,-5.608883482982253
0.36175584452181436,0.1721834458119786,0.7445628984092064,0.007136877661287748,0.9746718293818246,0.0059940591383001625,-4.978425137534072
0.34730482563309917,0.17267462717944262,0.7883008899121315,0.0075417534790391955,0.9798059954248939,0.006507127107530385,-5.308558501599816
0.4009354195610201,0.1701861845919584,0.7375686718106736,0.006862762522452715,0.9749104638230821,0.005430508844252469,-5.934607605762651
0.3341011781246741,0.1691644074524381,0.679165476411562,0.007400156280632409,0.9771401757127038,0.007146407458717362,-4.936507358508996
0.32881978121884675,0.18120896090096594,0.773931113975568,0.0067771524628697025,0.9754660049361372,0.006598611463801066,-5.047649298000191
0.31928271891009197,0.1643632099732169,0.7441938606190941,0.006872755690569064,0.9723025946549319,0.006912088490832271,-5.354537994454258
0.3266506692698332,0.17481907418680814,0.7251751900832379,0.006959907360791877,0.9752766552204974,0.006973960460203498,-5.496643621990294
