collapse_rate,collapse_sigma,collapse_amplitude,continuous_noise_amplitude,density_decay,relativistic_factor,fitness,slope,slope_std_error,energy_error
0.13274531347208054,0.2865112609045951,0.6074461221692794,0.015855609108204154,0.9809250738157125,0.007894706156286837,-113.9697106680204,-5.668181197753048,0.2404052841657828,11.330152947026736
0.17532851578587572,0.2653981528472248,0.5,0.009353333158618884,0.9801527355598252,0.006017192908280696,-132.7337253864856,-5.955688323881381,0.23596415672062004,13.17780370626042
0.17532851578587572,0.2586950688514548,0.5130010484537776,0.008829050827250799,0.9801527355598252,0.006280405012944606,-119.4672645195065,-5.915604705028668,0.2825660461139238,11.855165981447783
0.13274531347208054,0.2865112609045951,0.7217379933680372,0.01581476539723208,0.9777999841849875,0.004915475745636996,-170.00009958552877,-6.1380747755989775,0.25098023178774587,16.88620248099298
0.13274531347208054,0.2865112609045951,0.7217379933680372,0.01568385700577428,0.9809250738157125,0.004915475745636996,-156.99465302153834,-6.073001698764349,0.28338224602631945,15.592165132277398
0.17852613884212803,0.26958798602454254,0.6034798635988697,0.008234790371254321,0.9783888923702824,0.009072106756853637,-177.77055068661997,-5.82292728886446,0.2583838001745605,17.69476233977555
0.17852613884212803,0.27660769004172425,0.6074461221692794,0.01689464801836765,0.9809250738157125,0.009072106756853637,-182.52514552432868,-5.93260669062625,0.26263629000985,18.159253883370244
0.10371562701107195,0.27660769004172425,1.1069836168965401,0.01114644776315896,0.954576966291501,0.007894706156286837,-317.9166882219553,-6.079933463854781,0.33133755864248354,31.683675475810055
0.10371562701107195,0.26958798602454254,0.994010215518266,0.008234790371254321,0.954576966291501,0.009945613829457627,-264.3677857643539,-5.913602385711742,0.33759589099532417,26.34541833786422
0.10124203570581575,0.26958798602454254,0.994010215518266,0.008234790371254321,0.9783888923702824,0.009945613829457627,-248.10992099593008,-6.082876784791697,0.29716144291893387,24.70270442111384
0.10371562701107195,0.2653981528472248,0.5,0.008231369801018667,0.9801527355598252,0.008467276857729264,-72.9281711757285,-6.405118595890622,0.30275163125918825,7.1523052579837865
0.13274531347208054,0.2653981528472248,0.7217379933680372,0.01069545840418501,0.9801527355598252,0.004915475745636996,-217.3236613153235,-6.099588462264152,0.25518907693451653,21.622407285305933
0.17532851578587572,0.2726216541748086,0.694843130632671,0.01689464801836765,0.9801527355598252,0.006280405012944606,-263.047496109186,-5.786476445264292,0.25850962271698485,26.22610196639217
0.10371562701107195,0.27660769004172425,1.1069836168965401,0.01114644776315896,0.9801527355598252,0.006017192908280696,-322.7228884991689,-5.91087353387112,0.2709477965167634,32.18120149652978
0.17852613884212803,0.27660769004172425,1.1639643045502477,0.01689464801836765,0.954576966291501,0.009072106756853637,-585.5844448546648,-6.271760082118105,0.2908838882726343,58.43126847725466
0.14376029464535198,0.26958798602454254,0.6061514515153833,0.009353333158618884,0.9783888923702824,0.0059937890490254,-149.36762863432673,-6.197751167538408,0.27632629089752425,14.816987746678834
0.10371562701107195,0.27660769004172425,0.994010215518266,0.009419837990316933,0.9809250738157125,0.009945613829457627,-240.93859190874377,-5.737910888653547,0.2690897255950635,24.020068102009024
0.13274531347208054,0.26958798602454254,1.006964408462946,0.008234790371254321,0.9777999841849875,0.009945613829457627,-341.67780704068895,-6.1315967979890456,0.3016215872155907,34.05462102426999
0.17457652485182154,0.27660769004172425,0.6074461221692794,0.01689464801836765,0.9809250738157125,0.009833618252003379,-144.75263306300343,-5.975806577891378,0.2844885189437515,14.377682648511206
0.10371562701107195,0.25539702732476566,0.5130010484537776,0.008829050827250799,0.9830787775973354,0.009945613829457627,-87.45735662589995,-5.869659558770749,0.25583076677197525,8.65876970671292
