collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,slope
0.1,0.1,0.5,0.005,0.99,-3.402803489235327
0.1,0.1,0.5,0.005,0.95,-4.512609693818204
0.1,0.1,0.5,0.01,0.99,-3.708226588605792
0.1,0.1,0.5,0.01,0.95,-2.9453573064672924
0.1,0.1,1.0,0.005,0.99,-6.13400112611699
0.1,0.1,1.0,0.005,0.95,-3.762085181983844
0.1,0.1,1.0,0.01,0.99,-4.067569517338745
0.1,0.1,1.0,0.01,0.95,-3.2438339060757317
0.1,0.2,0.5,0.005,0.99,-4.987755473068282
0.1,0.2,0.5,0.005,0.95,-5.997259822847636
0.1,0.2,0.5,0.01,0.99,-4.791915117994143
0.1,0.2,0.5,0.01,0.95,-5.552181824846802
0.1,0.2,1.0,0.005,0.99,-4.397617455886712
0.1,0.2,1.0,0.005,0.95,-4.967993153414155
0.1,0.2,1.0,0.01,0.99,-4.658192634073528
0.1,0.2,1.0,0.01,0.95,-6.261870385522929
0.3,0.1,0.5,0.005,0.99,-3.7174842338025362
0.3,0.1,0.5,0.005,0.95,-3.414854019558012
0.3,0.1,0.5,0.01,0.99,-3.6079715601563613
0.3,0.1,0.5,0.01,0.95,-3.5155548404467316
0.3,0.1,1.0,0.005,0.99,-6.377959107654803
0.3,0.1,1.0,0.005,0.95,-3.170170576825121
0.3,0.1,1.0,0.01,0.99,-5.920194031310227
0.3,0.1,1.0,0.01,0.95,-3.5275508423960042
0.3,0.2,0.5,0.005,0.99,-4.892174115791446
0.3,0.2,0.5,0.005,0.95,-4.950271008919677
0.3,0.2,0.5,0.01,0.99,-5.113705715641118
0.3,0.2,0.5,0.01,0.95,-4.899530405339317
0.3,0.2,1.0,0.005,0.99,-5.453864981606293
0.3,0.2,1.0,0.005,0.95,-5.380169106495839
0.3,0.2,1.0,0.01,0.99,-4.959661716456701
0.3,0.2,1.0,0.01,0.95,-7.0261881378081315
0.5,0.1,0.5,0.005,0.99,-3.267623022858179
0.5,0.1,0.5,0.005,0.95,-3.98207301013581
0.5,0.1,0.5,0.01,0.99,-2.960599732677293
0.5,0.1,0.5,0.01,0.95,-3.915125914187255
0.5,0.1,1.0,0.005,0.99,-4.176712933890234
0.5,0.1,1.0,0.005,0.95,-5.098612422523804
0.5,0.1,1.0,0.01,0.99,-4.020179523331793
0.5,0.1,1.0,0.01,0.95,-3.213670417109334
0.5,0.2,0.5,0.005,0.99,-4.876433440350291
0.5,0.2,0.5,0.005,0.95,-5.741222436687553
0.5,0.2,0.5,0.01,0.99,-5.480857548856953
0.5,0.2,0.5,0.01,0.95,-5.096284442787152
0.5,0.2,1.0,0.005,0.99,-4.830235757710973
0.5,0.2,1.0,0.005,0.95,-7.290956644002057
0.5,0.2,1.0,0.01,0.99,-5.030030341521326
0.5,0.2,1.0,0.01,0.95,-5.0415737291253935
