collapse_rate,collapse_sigma,collapse_amplitude,continuous_noise_amplitude,density_decay,relativistic_factor,fitness,slope,energy_error
0.3477922266944724,0.29642941023319247,0.6093226672523067,0.007953800166088886,0.9876779404455123,0.007491792443550295,-135.32069088161765,-6.45637538328699,13.386431549833064
0.3016309972826855,0.27980499144502446,0.7613442239109971,0.006333217199979645,0.9796189941414591,0.0023904073009841874,-325.4194840369458,-5.501026967095795,32.491845706984996
0.4060262586839367,0.2811040817494658,1.36335166039128,0.006852894941580014,0.9690047046519207,0.0046607003101444945,-852.696348637843,-5.376113408174555,85.23202352296684
0.3098627277681195,0.25058568690815997,1.3623437135933947,0.014025967725702658,0.9725801231104005,0.006657009473433182,-1283.7632954631397,-5.3377465169864875,128.34255489461532
0.43429626035347846,0.21951506276880578,1.0269817154710221,0.008543901942692025,0.9700077807146177,0.0038986076730129593,-1014.1459517227408,-5.064914764716629,101.40810369580242
0.3477922266944724,0.2392660794078862,1.0269817154710221,0.007953800166088886,0.9876779404455123,0.007491792443550295,-1385.9061048310953,-5.489500293732074,138.5416604537363
0.3098627277681195,0.25058568690815997,0.6093226672523067,0.007953800166088886,0.9876779404455123,0.006657009473433182,-373.71683316088024,-5.5497729410539876,37.316706021982625
0.3016309972826855,0.25058568690815997,0.7613442239109971,0.014025967725702658,0.9796189941414591,0.006657009473433182,-458.53277440194086,-5.393201524462097,45.813957287747876
0.3098627277681195,0.2811040817494658,1.36335166039128,0.014025967725702658,0.9690047046519207,0.006657009473433182,-657.322652753818,-5.405382336962554,65.69172704168554
0.3098627277681195,0.2811040817494658,1.2785763215394628,0.005403726198760639,0.9725801231104005,0.006657009473433182,-768.5362152448399,-5.413581291403995,76.81226339534359
