collapse_rate,collapse_sigma,collapse_amplitude,continuous_noise_amplitude,density_decay,relativistic_factor,fitness,slope,energy_error
0.38325400126426545,0.25058568690815997,0.6952289210229123,0.009233058897789498,0.9796189941414591,0.006657009473433182,-429.04402815787387,-5.183228705142707,42.88607994527312
0.3016309972826855,0.27980499144502446,0.7613442239109971,0.006333217199979645,0.9796189941414591,0.0023904073009841874,-192.61831092745123,-5.556936339739737,19.20613745877115
0.3477922266944724,0.29642941023319247,0.6093226672523067,0.007953800166088886,0.9876779404455123,0.007491792443550295,-178.2053304457612,-5.517888231156726,17.768744221460448
0.3098627277681195,0.25058568690815997,0.6093226672523067,0.007953800166088886,0.9876779404455123,0.006657009473433182,-238.243809967893,-5.594004996406969,23.764980497148603
0.3016309972826855,0.27980499144502446,0.8398297318443456,0.006333217199979645,0.9796189941414591,0.0023904073009841874,-235.863803211156,-5.55709123482337,23.530671197633264
0.3098627277681195,0.27980499144502446,0.7613442239109971,0.007953800166088886,0.9876779404455123,0.006657009473433182,-260.4567711011037,-5.772916051483961,25.968385504961972
0.38325400126426545,0.25058568690815997,0.6952289210229123,0.006333217199979645,0.9796189941414591,0.006657009473433182,-429.04393673488573,-5.183229475144583,42.886070725974115
0.3016309972826855,0.27980499144502446,0.6093226672523067,0.008987297940131127,0.9796189941414591,0.007491792443550295,-120.9105176327828,-5.556520250334288,12.035399738244852
0.38325400126426545,0.25058568690815997,0.7928393584391977,0.007953800166088886,0.9876779404455123,0.005850629239581939,-641.5985403568542,-4.814417918593504,64.14129582754477
0.3016309972826855,0.2860369342342517,0.6586467331600792,0.006333217199979645,0.9876779404455123,0.001880410879165576,-179.9421523280539,-5.809883924718508,17.91322684033354
